/usr/lib/jvm/java-8-oracle/bin/java -Dspark.master=local[2] -Didea.launcher.port=7533 -Didea.launcher.bin.path=/home/tblee/idea-IC/bin -Dfile.encoding=UTF-8 -classpath "/usr/lib/jvm/java-8-oracle/jre/lib/charsets.jar:/usr/lib/jvm/java-8-oracle/jre/lib/deploy.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/cldrdata.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/dnsns.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/jaccess.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/jfxrt.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/localedata.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/nashorn.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/sunec.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/java-8-oracle/jre/lib/ext/zipfs.jar:/usr/lib/jvm/java-8-oracle/jre/lib/javaws.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jce.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jfr.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jfxswt.jar:/usr/lib/jvm/java-8-oracle/jre/lib/jsse.jar:/usr/lib/jvm/java-8-oracle/jre/lib/management-agent.jar:/usr/lib/jvm/java-8-oracle/jre/lib/plugin.jar:/usr/lib/jvm/java-8-oracle/jre/lib/resources.jar:/usr/lib/jvm/java-8-oracle/jre/lib/rt.jar:/media/tblee/Data/Stanford courses/Spring 2016/CME323/Project/rnn_nlp/target/scala-2.11/classes:/home/tblee/.ivy2/cache/org.scala-lang/scala-library/jars/scala-library-2.11.8.jar:/home/tblee/spark-1.6.1/assembly/target/scala-2.11/spark-assembly-1.6.1-hadoop2.4.0.jar:/home/tblee/idea-IC/lib/idea_rt.jar" com.intellij.rt.execution.application.AppMain org.apache.spark.shallowNN.char_RNN_SGD
Using Spark's repl log4j profile: org/apache/spark/log4j-defaults-repl.properties
To adjust logging level use sc.setLogLevel("INFO")
16/05/31 02:48:22 WARN NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
16/05/31 02:48:22 WARN Utils: Your hostname, tblee-UX303LB resolves to a loopback address: 127.0.1.1; using 10.0.0.6 instead (on interface wlan0)
16/05/31 02:48:22 WARN Utils: Set SPARK_LOCAL_IP if you need to bind to another address
16/05/31 02:48:25 WARN Utils: Service 'SparkUI' could not bind on port 4040. Attempting port 4041.
16/05/31 02:48:26 WARN Utils: Service 'SparkUI' could not bind on port 4041. Attempting port 4042.
Input data has vocabulary size 66, initializing network with 1 layers each has 25 hidden units, sliding window size 5
16/05/31 02:48:30 WARN BLAS: Failed to load implementation from: com.github.fommil.netlib.NativeSystemBLAS
16/05/31 02:48:30 WARN BLAS: Failed to load implementation from: com.github.fommil.netlib.NativeRefBLAS
Training loss at epoch 0: 4.189610672600875
Training loss at epoch 1: 3.9255017156499457
Training loss at epoch 2: 3.8925440770113386
Training loss at epoch 3: 4.309464154969722
Training loss at epoch 4: 3.2550170526770157
Training loss at epoch 5: 3.2254401727033617
Training loss at epoch 6: 2.9930090506624065
Training loss at epoch 7: 3.0997891059445086
Training loss at epoch 8: 2.9995982539641597
Training loss at epoch 9: 3.093206221013431
Training loss at epoch 10: 2.963188692715024
Training loss at epoch 11: 2.9357754399994493
Training loss at epoch 12: 2.916347024433924
Training loss at epoch 13: 2.8131434450950166
Training loss at epoch 14: 2.702123284260061
Training loss at epoch 15: 2.667234246307449
Training loss at epoch 16: 2.663828852954346
Training loss at epoch 17: 2.6905149443737058
Training loss at epoch 18: 2.635836151321232
Training loss at epoch 19: 2.5608653438028623
Training loss at epoch 20: 2.5440806032005647
Training loss at epoch 21: 2.5050565536904683
Training loss at epoch 22: 2.483251355467605
Training loss at epoch 23: 2.5291954536173296
Training loss at epoch 24: 2.4863335758514027
Training loss at epoch 25: 2.4495454062481175
Training loss at epoch 26: 2.434724434433611
Training loss at epoch 27: 2.4416271995047665
Training loss at epoch 28: 2.430007075960612
Training loss at epoch 29: 2.4128191554197356
Training loss at epoch 30: 2.4168956624153504
Training loss at epoch 31: 2.39106505981025
Training loss at epoch 32: 2.353424736660864
Training loss at epoch 33: 2.3715976539627808
Training loss at epoch 34: 2.352823358561209
Training loss at epoch 35: 2.370276126387798
Training loss at epoch 36: 2.343852392418616
Training loss at epoch 37: 2.422261481374149
Training loss at epoch 38: 2.3570822271281457
Training loss at epoch 39: 2.3332967610952147
Training loss at epoch 40: 2.3612394135348778
Training loss at epoch 41: 2.3248080776503266
Training loss at epoch 42: 2.3089474214195618
Training loss at epoch 43: 2.2856648973413107
Training loss at epoch 44: 2.2542661673633795
Training loss at epoch 45: 2.3264825993002978
Training loss at epoch 46: 2.2948999552146865
Training loss at epoch 47: 2.3083771527208783
Training loss at epoch 48: 2.3316567925260774
Training loss at epoch 49: 2.2671554302570467
Training loss at epoch 50: 2.2925231134660455
Training loss at epoch 51: 2.251283825355256
Training loss at epoch 52: 2.2996724657475642
Training loss at epoch 53: 2.2288111817268255
Training loss at epoch 54: 2.2427771516236668
Training loss at epoch 55: 2.310675364851236
Training loss at epoch 56: 2.2589653069406
Training loss at epoch 57: 2.2271438406088997
Training loss at epoch 58: 2.2453412311875116
Training loss at epoch 59: 2.248571185219208
Training loss at epoch 60: 2.220430647229543
Training loss at epoch 61: 2.2422529064286216
Training loss at epoch 62: 2.215132626686641
Training loss at epoch 63: 2.2232403195272923
Training loss at epoch 64: 2.2399822060574124
Training loss at epoch 65: 2.2310465574680047
Training loss at epoch 66: 2.2269299030873557
Training loss at epoch 67: 2.2047370314687695
Training loss at epoch 68: 2.23288240389294
Training loss at epoch 69: 2.2029069573514524
Training loss at epoch 70: 2.2590195063919096
Training loss at epoch 71: 2.2305534641871856
Training loss at epoch 72: 2.1895159216753846
Training loss at epoch 73: 2.1918729942178543
Training loss at epoch 74: 2.2160496890739094
Training loss at epoch 75: 2.183680983933192
Training loss at epoch 76: 2.1877306411486486
Training loss at epoch 77: 2.1643141215545674
Training loss at epoch 78: 2.1864735020214576
Training loss at epoch 79: 2.215758510633258
Training loss at epoch 80: 2.2011951594319052
Training loss at epoch 81: 2.173873217975792
Training loss at epoch 82: 2.1927294697734006
Training loss at epoch 83: 2.2013585698193183
Training loss at epoch 84: 2.1477246109175154
Training loss at epoch 85: 2.1854314451961177
Training loss at epoch 86: 2.1688717310654537
Training loss at epoch 87: 2.140888704322295
Training loss at epoch 88: 2.1770439045676264
Training loss at epoch 89: 2.17511106827997
Training loss at epoch 90: 2.1968542835854996
Training loss at epoch 91: 2.1947922356207674
Training loss at epoch 92: 2.215361132995209
Training loss at epoch 93: 2.182601087543233
Training loss at epoch 94: 2.176615027463104
Training loss at epoch 95: 2.1972681242001038
Training loss at epoch 96: 2.1702772254219487
Training loss at epoch 97: 2.1508343820541502
Training loss at epoch 98: 2.0966981721305067
Training loss at epoch 99: 2.1816707922787035
Training loss at epoch 100: 2.0872811498975126
Training loss at epoch 101: 2.1217881407971473
Training loss at epoch 102: 2.1523576452790225
Training loss at epoch 103: 2.146963438108523
Training loss at epoch 104: 2.1405198494096127
Training loss at epoch 105: 2.14894238644088
Training loss at epoch 106: 2.155964828454764
Training loss at epoch 107: 2.1447280827225743
Training loss at epoch 108: 2.158618982165665
Training loss at epoch 109: 2.131100085543957
Training loss at epoch 110: 2.1118872838799256
Training loss at epoch 111: 2.1662956516455876
Training loss at epoch 112: 2.10045734311028
Training loss at epoch 113: 2.135005658283008
Training loss at epoch 114: 2.1552952613096465
Training loss at epoch 115: 2.105146056500682
Training loss at epoch 116: 2.1501547480750482
Training loss at epoch 117: 2.1580169085596306
Training loss at epoch 118: 2.115526682615724
Training loss at epoch 119: 2.1288733509311912
Training loss at epoch 120: 2.1271528533168245
Training loss at epoch 121: 2.1097616738474674
Training loss at epoch 122: 2.1496750136434906
Training loss at epoch 123: 2.153271591731123
Training loss at epoch 124: 2.118088564003807
Training loss at epoch 125: 2.1081554115922794
Training loss at epoch 126: 2.1182564674535826
Training loss at epoch 127: 2.096015336774549
Training loss at epoch 128: 2.115917441653862
Training loss at epoch 129: 2.123274777611088
Training loss at epoch 130: 2.118843775522103
Training loss at epoch 131: 2.131470063162169
Training loss at epoch 132: 2.0773420797353035
Training loss at epoch 133: 2.1360653951087407
Training loss at epoch 134: 2.151579268056916
Training loss at epoch 135: 2.159453737449481
Training loss at epoch 136: 2.126038638347621
Training loss at epoch 137: 2.1559791365262075
Training loss at epoch 138: 2.084955558593063
Training loss at epoch 139: 2.119527222930933
Training loss at epoch 140: 2.082256180788677
Training loss at epoch 141: 2.0954460977829394
Training loss at epoch 142: 2.0958921732199802
Training loss at epoch 143: 2.0908126392939463
Training loss at epoch 144: 2.1108273476989954
Training loss at epoch 145: 2.0873528344299666
Training loss at epoch 146: 2.1053511242814076
Training loss at epoch 147: 2.080944477066937
Training loss at epoch 148: 2.0710409479338514
Training loss at epoch 149: 2.079660043204096
Training loss at epoch 150: 2.0924732439089935
Training loss at epoch 151: 2.0963096208566623
Training loss at epoch 152: 2.092532394091017
Training loss at epoch 153: 2.0853156801902895
Training loss at epoch 154: 2.076696578862247
Training loss at epoch 155: 2.057527889584177
Training loss at epoch 156: 2.094858688051408
Training loss at epoch 157: 2.094220091395986
Training loss at epoch 158: 2.1050137591915217
Training loss at epoch 159: 2.099641701832106
Training loss at epoch 160: 2.0876047235058244
Training loss at epoch 161: 2.1029735321800564
Training loss at epoch 162: 2.0248189766356766
Training loss at epoch 163: 2.0707160371810653
Training loss at epoch 164: 2.1464118727009907
Training loss at epoch 165: 2.0975886060766484
Training loss at epoch 166: 2.0535982588074986
Training loss at epoch 167: 2.0680103871472526
Training loss at epoch 168: 2.057221527194821
Training loss at epoch 169: 2.061122185065072
Training loss at epoch 170: 2.076140659768788
Training loss at epoch 171: 2.0745667578159916
Training loss at epoch 172: 2.0664268944776025
Training loss at epoch 173: 2.0840778359837198
Training loss at epoch 174: 2.115011608274043
Training loss at epoch 175: 2.063098426847104
Training loss at epoch 176: 2.06173901214713
Training loss at epoch 177: 2.07162664040122
Training loss at epoch 178: 2.0920897760823216
